ТИК,УИК,"Число избирателей, включенных в список избирателей","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",Число погашенных избирательных бюллетеней,Число избирательных бюллетеней в переносных ящиках для голосования,Число бюллетеней в стационарных ящиках для голосования,Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Даванков Владислав Андреевич,Даванков Владислав Андреевич (%),Путин Владимир Владимирович,Путин Владимир Владимирович (%),Слуцкий Леонид Эдуардович,Слуцкий Леонид Эдуардович (%),Харитонов Николай Михайлович,Харитонов Николай Михайлович (%)
Балашихинская городская,УИК №1,1701,1500,0,1157,20,323,20,1157,12,1165,0,0,53,4.5,1053,89.46,20,1.7,39,3.31
Балашихинская городская,УИК №2,1661,1500,0,1163,7,330,7,1163,30,1140,0,0,68,5.81,1023,87.44,19,1.62,30,2.56
Балашихинская городская,УИК №3,1995,2000,0,1389,12,599,12,1389,28,1373,0,0,19,1.36,1236,88.22,22,1.57,96,6.85
Балашихинская городская,УИК №4,2028,1800,0,1429,7,364,7,1429,21,1415,0,0,66,4.6,1273,88.65,24,1.67,52,3.62
Балашихинская городская,УИК №5,2048,1900,0,1417,16,467,16,1417,38,1395,0,0,21,1.47,1256,87.65,20,1.4,98,6.84
Балашихинская городская,УИК №6,2171,1900,0,1518,24,358,24,1518,29,1513,0,0,90,5.84,1329,86.19,32,02.08,62,04.02
Балашихинская городская,УИК №7,2047,1700,0,1369,58,273,58,1369,31,1396,0,0,103,7.22,1206,84.51,38,2.66,49,3.43
Балашихинская городская,УИК №8,2144,1800,0,1532,33,235,33,1532,24,1541,0,0,77,4.92,1388,88.69,20,1.28,56,3.58
Балашихинская городская,УИК №9,2200,2000,0,1533,65,402,65,1533,46,1552,0,0,85,5.32,1372,85.86,36,2.25,59,3.69
Балашихинская городская,УИК №10,1986,1700,0,1466,40,194,40,1466,39,1467,0,0,94,6.24,1271,84.4,45,2.99,57,3.78
Балашихинская городская,УИК №11,2092,1900,0,1254,200,446,200,1254,27,1427,0,0,128,8.8,1197,82.32,31,2.13,71,4.88
Балашихинская городская,УИК №12,1579,1400,0,1048,83,269,83,1048,25,1106,0,0,82,7.25,947,83.73,38,3.36,39,3.45
Балашихинская городская,УИК №13,1254,1100,0,842,54,204,54,842,33,863,0,0,67,7.48,743,82.92,19,2.12,34,3.79
Балашихинская городская,УИК №14,1945,1700,0,1348,20,332,20,1348,31,1337,0,0,57,4.17,1195,87.35,25,1.83,60,4.39
Балашихинская городская,УИК №15,2006,1800,0,1345,112,343,112,1345,31,1426,0,0,127,8.72,1199,82.29,44,03.02,56,3.84
Балашихинская городская,УИК №16,2359,2100,0,1552,153,395,153,1543,36,1660,0,0,88,5.19,1465,86.38,35,02.06,72,4.25
Балашихинская городская,УИК №17,2119,1900,0,1480,77,343,77,1480,37,1520,0,0,82,5.27,1340,86.06,36,2.31,62,3.98
Балашихинская городская,УИК №18,2479,2300,0,1789,12,499,12,1789,34,1767,0,0,23,1.28,1590,88.28,30,1.67,124,6.89
Балашихинская городская,УИК №19,2049,2200,0,1530,5,665,5,1530,25,1510,0,0,21,1.37,1359,88.53,24,1.56,106,6.91
Балашихинская городская,УИК №20,2495,2100,0,1548,254,298,254,1548,39,1763,0,0,126,6.99,1562,86.68,39,2.16,36,1.99
Балашихинская городская,УИК №21,1287,1100,0,766,135,199,135,766,22,879,0,0,51,5.66,773,85.79,23,2.55,32,3.55
Балашихинская городская,УИК №22,1875,1700,0,1333,22,345,22,1333,31,1324,0,0,75,5.54,1167,86.13,17,1.25,65,4.8
Балашихинская городская,УИК №23,1749,1600,0,1215,13,372,13,1215,38,1190,0,0,67,5.46,1049,85.42,31,2.52,43,3.5
Балашихинская городская,УИК №24,1707,1500,0,1155,36,309,36,1155,34,1157,0,0,61,5.12,1020,85.64,27,2.27,49,4.11
Балашихинская городская,УИК №25,2032,1800,0,1439,12,349,12,1439,29,1422,0,0,78,5.38,1258,86.7,30,02.07,56,3.86
Балашихинская городская,УИК №26,2082,1800,0,1467,12,321,12,1467,21,1458,0,0,59,3.99,1302,88.03,36,2.43,61,4.12
Балашихинская городская,УИК №27,2176,1800,0,1458,76,266,76,1458,42,1492,0,0,84,5.48,1333,86.9,34,2.22,41,2.67
Балашихинская городская,УИК №28,2180,1900,0,1488,11,401,11,1488,26,1473,0,0,56,3.74,1333,88.93,27,1.8,57,3.8
Балашихинская городская,УИК №29,2020,1800,0,1432,28,340,28,1432,18,1442,0,0,58,3.97,1323,90.62,15,01.03,46,3.15
Балашихинская городская,УИК №30,1985,1800,0,1314,105,381,105,1314,36,1383,0,0,73,5.14,1240,87.39,24,1.69,46,3.24
Балашихинская городская,УИК №31,2015,1800,0,1355,100,345,100,1355,17,1438,0,0,86,5.91,1283,88.18,31,2.13,38,2.61
Балашихинская городская,УИК №32,1981,1800,0,1553,15,232,15,1553,30,1538,0,0,65,4.15,1396,89.03,32,02.04,45,2.87
Балашихинская городская,УИК №33,1518,1300,0,874,138,288,138,874,20,992,0,0,73,7.21,844,83.4,28,2.77,47,4.64
Балашихинская городская,УИК №34,1315,1200,0,785,136,279,136,785,24,897,0,0,41,4.45,804,87.3,16,1.74,36,3.91
Балашихинская городская,УИК №35,1914,1700,0,1231,87,382,87,1231,20,1298,0,0,87,6.6,962,72.99,100,7.59,149,11.31
Балашихинская городская,УИК №36,1750,1500,0,1177,74,249,74,1177,33,1218,0,0,50,3.99,1097,87.69,27,2.16,44,3.52
Балашихинская городская,УИК №37,1104,1000,0,990,10,0,10,990,14,986,0,0,13,1.3,891,89.1,12,1.2,70,7
Балашихинская городская,УИК №38,1535,1300,0,1073,10,217,10,1073,22,1061,0,0,51,4.71,929,85.78,24,2.22,57,5.26
Балашихинская городская,УИК №39,1787,1500,0,1044,195,261,195,1044,33,1206,0,0,90,7.26,1016,82,31,2.5,69,5.57
Балашихинская городская,УИК №40,2246,1800,0,1403,92,305,92,1402,28,1466,0,0,95,6.36,1270,85.01,36,2.41,65,4.35
Балашихинская городская,УИК №41,1466,1200,0,930,122,148,122,930,16,1036,0,0,48,4.56,931,88.5,18,1.71,39,3.71
Балашихинская городская,УИК №42,1730,1500,0,1042,139,319,139,1042,22,1159,0,0,70,5.93,1042,88.23,18,1.52,29,2.46
Балашихинская городская,УИК №43,2106,1800,0,1685,4,111,4,1685,13,1676,0,0,15,0.89,1520,89.99,23,1.36,118,6.99
Балашихинская городская,УИК №44,1783,1500,0,1281,22,197,22,1281,25,1278,0,0,59,4.53,1162,89.18,18,1.38,39,2.99
Балашихинская городская,УИК №45,1366,1200,0,997,3,200,3,997,33,967,0,0,101,10.1,798,79.8,31,3.1,37,3.7
Балашихинская городская,УИК №46,2030,1700,0,1417,64,219,64,1416,26,1454,0,0,77,5.2,1299,87.77,37,2.5,41,2.77
Балашихинская городская,УИК №47,2249,2000,0,1647,122,231,122,1646,35,1733,0,0,79,4.47,1574,89.03,32,1.81,48,2.71
Балашихинская городская,УИК №48,1665,1300,0,1165,26,109,26,1165,30,1161,0,0,81,6.8,1006,84.47,28,2.35,46,3.86
Балашихинская городская,УИК №49,1570,1500,0,1397,12,91,12,1397,25,1384,0,0,14,0.99,1259,89.35,13,0.92,98,6.96
Балашихинская городская,УИК №50,2216,2200,0,1638,47,515,47,1638,24,1661,0,0,25,1.48,1496,88.78,24,1.42,116,6.88
Балашихинская городская,УИК №51,2110,2100,0,1520,28,552,28,1520,46,1502,0,0,21,1.36,1352,87.34,20,1.29,109,07.04
Балашихинская городская,УИК №52,2241,2200,0,1637,16,547,16,1637,6,1647,0,0,23,1.39,1483,89.72,23,1.39,118,7.14
Балашихинская городская,УИК №53,2319,2000,0,1083,504,413,504,1083,40,1547,0,0,212,13.36,1108,69.82,113,7.12,114,7.18
Балашихинская городская,УИК №54,1340,1100,0,937,17,146,17,937,13,941,0,0,50,5.24,851,89.2,18,1.89,22,2.31
Балашихинская городская,УИК №55,1770,1400,0,851,293,256,293,851,21,1123,0,0,128,11.19,902,78.85,57,4.98,36,3.15
Балашихинская городская,УИК №56,2748,2700,0,2156,56,488,56,2156,26,2186,0,0,23,01.04,1967,88.92,22,0.99,174,7.87
Балашихинская городская,УИК №57,1951,1800,0,1360,6,434,6,1360,0,1366,0,0,19,1.39,1230,90.04,21,1.54,96,07.03
Балашихинская городская,УИК №58,1770,1700,0,1235,6,459,6,1235,9,1232,0,0,15,1.21,1122,90.41,8,0.64,87,07.01
Балашихинская городская,УИК №59,2007,2000,0,1450,7,543,0,1450,22,1428,0,0,15,01.03,1299,89.59,13,0.9,101,6.97
Балашихинская городская,УИК №60,2488,2450,0,2387,11,52,11,2387,1,2397,0,0,38,1.58,2155,89.87,34,1.42,170,07.09
Балашихинская городская,УИК №61,2456,2400,0,1719,9,672,9,1719,18,1710,0,0,22,1.27,1556,90.05,12,0.69,120,6.94
Балашихинская городская,УИК №62,2212,1900,0,1530,63,307,63,1530,38,1555,0,0,67,4.21,1400,87.88,36,2.26,52,3.26
Балашихинская городская,УИК №63,561,500,0,383,4,113,4,383,8,379,0,0,37,9.56,313,80.88,9,2.33,20,5.17
Балашихинская городская,УИК №64,2697,2200,0,1808,107,285,107,1808,56,1859,0,0,132,6.89,1631,85.17,52,2.72,44,2.3
Балашихинская городская,УИК №65,1671,1500,0,1050,144,306,144,1050,17,1177,0,0,86,7.2,994,83.25,39,3.27,58,4.86
Балашихинская городская,УИК №66,1820,1600,0,1045,221,334,221,1045,13,1253,0,0,78,6.16,1076,84.99,18,1.42,81,6.4
Балашихинская городская,УИК №67,1935,1700,0,1202,161,337,161,1202,28,1335,0,0,63,4.62,1143,83.86,33,2.42,96,07.04
Балашихинская городская,УИК №68,2147,2000,0,1882,25,93,25,1882,22,1885,0,0,28,1.47,1697,88.99,28,1.47,132,6.92
Балашихинская городская,УИК №69,1611,1600,0,1128,13,459,13,1128,4,1137,0,0,18,1.58,1023,89.66,17,1.49,79,6.92
Балашихинская городская,УИК №70,2121,1900,0,1319,174,407,174,1319,41,1452,0,0,86,5.76,1257,84.19,32,2.14,77,5.16
Балашихинская городская,УИК №71,1901,1700,0,1473,20,207,20,1473,29,1464,0,0,79,5.29,1318,88.28,16,01.07,51,3.42
Балашихинская городская,УИК №72,2063,1700,0,1394,9,297,9,1394,31,1372,0,0,79,5.63,1206,85.96,31,2.21,56,3.99
Балашихинская городская,УИК №73,2421,2000,0,1681,56,263,56,1681,25,1712,0,0,100,5.76,1451,83.53,69,3.97,92,5.3
Балашихинская городская,УИК №74,1955,1700,0,1114,167,419,167,1114,20,1261,0,0,85,6.64,1123,87.67,23,1.8,30,2.34
Балашихинская городская,УИК №75,2037,1700,0,1311,81,308,81,1311,21,1371,0,0,38,2.73,1290,92.67,10,0.72,33,2.37
Балашихинская городская,УИК №76,1518,1500,0,1026,5,469,5,1026,24,1007,0,0,11,01.07,910,88.26,15,1.45,71,6.89
Балашихинская городская,УИК №77,2521,2100,0,1711,90,299,90,1711,54,1747,0,0,112,6.22,1521,84.45,45,2.5,69,3.83
Балашихинская городская,УИК №78,2565,2400,0,1805,18,577,18,1805,9,1814,0,0,6,0.33,1651,90.57,30,1.65,127,6.97
Балашихинская городская,УИК №79,2048,2000,0,1193,250,557,250,1193,19,1424,0,0,72,4.99,1281,88.77,33,2.29,38,2.63
Балашихинская городская,УИК №80,2131,1900,0,1300,182,418,182,1300,37,1445,0,0,54,3.64,1285,86.71,41,2.77,65,4.39
Балашихинская городская,УИК №81,1925,1700,0,1347,14,339,14,1347,36,1325,0,0,78,5.73,1185,87.07,27,1.98,35,2.57
Балашихинская городская,УИК №82,1473,1200,0,1074,4,122,4,1074,51,1027,0,0,95,8.81,853,79.13,38,3.53,41,3.8
Балашихинская городская,УИК №83,1686,1500,0,1112,59,329,59,1112,36,1135,0,0,90,7.69,962,82.15,22,1.88,61,5.21
Балашихинская городская,УИК №84,1607,1500,0,1150,5,345,5,1150,30,1125,0,0,104,9,886,76.71,29,2.51,106,9.18
Балашихинская городская,УИК №85,1530,1500,0,1084,1,415,1,1084,16,1069,0,0,74,6.82,874,80.55,22,02.03,99,9.12
Балашихинская городская,УИК №86,1855,1900,0,1189,166,545,166,1189,22,1333,0,0,105,7.75,1145,84.5,38,2.8,45,3.32
Балашихинская городская,УИК №87,1628,1400,0,1268,5,127,5,1268,36,1237,0,0,97,7.62,1073,84.29,27,2.12,40,3.14
Балашихинская городская,УИК №88,1957,1900,0,1116,261,523,261,1116,19,1358,0,0,86,6.25,1193,86.64,28,02.03,51,3.7
Балашихинская городская,УИК №551,2482,2100,0,1601,109,390,109,1601,41,1669,0,0,157,9.18,1411,82.51,42,2.46,59,3.45
Балашихинская городская,УИК №552,1901,1600,0,1288,44,268,44,1288,37,1295,0,0,120,09.01,1084,81.38,41,03.08,50,3.75
Балашихинская городская,УИК №553,1686,1400,0,1248,6,146,6,1248,46,1208,0,0,114,09.09,929,74.08,72,5.74,93,7.42
Балашихинская городская,УИК №554,1223,1100,0,697,48,355,48,697,21,724,0,0,64,8.59,605,81.21,25,3.36,30,04.03
Балашихинская городская,УИК №555,1569,1400,0,1095,1,304,1,1095,19,1077,0,0,75,6.84,883,80.57,62,5.66,57,5.2
Балашихинская городская,УИК №556,1658,1300,0,894,23,383,23,894,18,899,0,0,75,8.18,746,81.35,30,3.27,48,5.23
Балашихинская городская,УИК №557,1587,1300,0,1133,13,154,13,1133,28,1118,0,0,81,07.07,974,84.99,30,2.62,33,2.88
Балашихинская городская,УИК №558,1628,1400,0,1136,15,249,15,1136,20,1131,0,0,53,4.6,1013,88.01,22,1.91,43,3.74
Балашихинская городская,УИК №559,1683,1400,0,1147,21,232,21,1147,14,1154,0,0,41,3.51,1050,89.9,24,02.05,39,3.34
Балашихинская городская,УИК №560,2252,1900,0,1528,131,241,131,1528,46,1613,0,0,88,5.3,1429,86.14,40,2.41,56,3.38
Балашихинская городская,УИК №561,1717,1600,0,1310,81,209,81,1310,37,1354,0,0,124,8.91,1140,81.96,49,3.52,41,2.95
Балашихинская городская,УИК №562,2215,1900,0,1561,42,297,42,1561,30,1573,0,0,73,4.55,1377,85.9,39,2.43,84,5.24
Балашихинская городская,УИК №563,1577,1400,0,911,163,326,163,911,22,1052,0,0,67,6.24,934,86.96,25,2.33,26,2.42
Балашихинская городская,УИК №564,1506,1300,0,897,136,267,136,897,34,999,0,0,51,4.94,862,83.45,33,3.19,53,5.13
Балашихинская городская,УИК №565,1489,1300,0,801,199,300,199,801,26,974,0,0,61,6.1,836,83.6,43,4.3,34,3.4
Балашихинская городская,УИК №566,1201,1100,0,616,240,244,240,616,15,841,0,0,53,6.19,719,83.99,31,3.62,38,4.44
Балашихинская городская,УИК №567,1290,1100,0,762,151,187,151,762,14,899,0,0,55,06.02,765,83.79,32,3.5,47,5.15
Балашихинская городская,УИК №568,2043,1900,0,1476,8,416,8,1476,89,1395,0,0,201,13.54,1085,73.11,55,3.71,54,3.64
Балашихинская городская,УИК №569,1948,1800,0,1394,20,386,20,1394,35,1379,0,0,116,8.2,1194,84.44,23,1.63,46,3.25
Балашихинская городская,УИК №570,1709,1400,0,922,150,328,150,922,15,1057,0,0,113,10.54,848,79.1,38,3.54,58,5.41
Балашихинская городская,УИК №571,1505,1300,0,1141,2,157,2,1141,29,1114,0,0,111,9.71,904,79.09,43,3.76,56,4.9
Балашихинская городская,УИК №572,2109,1900,0,1296,181,423,181,1296,51,1426,0,0,126,8.53,1207,81.72,40,2.71,53,3.59
Балашихинская городская,УИК №573,1494,1200,0,746,207,247,207,746,14,939,0,0,93,9.76,739,77.54,42,4.41,65,6.82
Балашихинская городская,УИК №574,1739,1500,0,1136,34,330,34,1136,38,1132,0,0,88,7.52,965,82.48,31,2.65,48,4.1
Балашихинская городская,УИК №575,1670,1500,0,1317,0,183,0,1317,28,1289,0,0,95,7.21,1114,84.59,24,1.82,56,4.25
Балашихинская городская,УИК №576,1805,1500,0,1385,5,110,5,1385,24,1366,0,0,22,1.58,1220,87.77,19,1.37,105,7.55
Балашихинская городская,УИК №577,2215,2000,0,1641,4,355,4,1641,58,1587,0,0,130,7.9,1350,82.07,48,2.92,59,3.59
Балашихинская городская,УИК №578,1955,1700,0,1120,191,389,191,1120,28,1283,0,0,106,08.09,1097,83.68,26,1.98,54,4.12
Балашихинская городская,УИК №579,1802,1600,0,1080,146,374,146,1080,22,1204,0,0,64,5.22,1074,87.6,20,1.63,46,3.75
Балашихинская городская,УИК №580,1745,1500,0,1305,33,162,33,1272,25,1280,0,0,45,3.45,1175,90.04,17,1.3,43,3.3
Балашихинская городская,УИК №581,1737,1400,0,1308,12,80,12,1308,38,1282,0,0,96,7.27,1119,84.77,17,1.29,50,3.79
Балашихинская городская,УИК №582,2612,2200,0,1900,3,297,3,1900,46,1857,0,0,180,9.46,1577,82.87,37,1.94,63,3.31
Балашихинская городская,УИК №583,1846,1600,0,999,168,433,168,999,37,1130,0,0,87,7.46,962,82.43,28,2.4,53,4.54
Балашихинская городская,УИК №584,1743,1500,0,898,289,313,289,898,16,1171,0,0,72,06.07,1038,87.45,23,1.94,38,3.2
Балашихинская городская,УИК №585,1746,1500,0,1237,10,253,10,1237,29,1218,0,0,79,6.34,1085,87.01,15,1.2,39,3.13
Балашихинская городская,УИК №586,1866,1500,0,1020,314,166,314,1020,33,1301,0,0,122,9.15,1104,82.76,28,2.1,47,3.52
Балашихинская городская,УИК №587,1884,1700,0,884,436,380,436,884,34,1286,0,0,79,5.98,1139,86.29,22,1.67,46,3.48
Балашихинская городская,УИК №588,2169,1800,0,1002,529,269,529,1002,32,1499,0,0,91,5.94,1320,86.22,26,1.7,62,04.05
Балашихинская городская,УИК №589,2143,2000,0,1086,402,512,402,1086,24,1464,0,0,120,08.06,1263,84.88,31,02.08,50,3.36
Балашихинская городская,УИК №590,1993,1800,0,941,475,384,475,941,22,1394,0,0,118,8.33,1174,82.91,39,2.75,63,4.45
Балашихинская городская,УИК №591,1729,1300,0,1249,15,36,15,1249,25,1239,0,0,61,4.83,1095,86.63,33,2.61,50,3.96
Балашихинская городская,УИК №592,1607,1400,0,919,214,267,214,919,35,1098,0,0,74,6.53,961,84.82,23,02.03,40,3.53
Балашихинская городская,УИК №593,1794,1600,0,893,313,394,313,893,35,1171,0,0,75,6.22,1020,84.58,28,2.32,48,3.98
Балашихинская городская,УИК №594,1582,1500,0,918,233,349,233,918,21,1130,0,0,110,9.56,869,75.5,81,07.04,70,06.08
Балашихинская городская,УИК №595,1852,1700,0,971,225,504,225,971,27,1169,0,0,108,09.03,995,83.19,24,02.01,42,3.51
Балашихинская городская,УИК №596,1896,1600,0,1317,3,280,3,1317,20,1300,0,0,118,8.94,999,75.68,85,6.44,98,7.42
Балашихинская городская,УИК №597,2419,2000,0,1527,197,276,197,1527,29,1695,0,0,111,6.44,1454,84.34,56,3.25,74,4.29
Балашихинская городская,УИК №598,1807,1600,0,1130,155,315,155,1130,26,1259,0,0,74,5.76,1121,87.24,23,1.79,41,3.19
Балашихинская городская,УИК №599,1744,1600,0,1017,139,444,139,1017,18,1138,0,0,88,7.61,962,83.22,32,2.77,56,4.84
Балашихинская городская,УИК №600,1913,1600,0,1128,212,260,212,1128,33,1307,0,0,120,8.96,1087,81.12,29,2.16,71,5.3
Балашихинская городская,УИК №601,1542,1300,0,886,233,181,233,886,13,1106,0,0,75,6.7,954,85.25,30,2.68,47,4.2
Балашихинская городская,УИК №602,1415,1200,0,769,194,237,194,769,13,950,0,0,30,3.12,869,90.24,14,1.45,37,3.84
Балашихинская городская,УИК №603,1602,1300,0,779,303,218,303,779,16,1066,0,0,68,6.28,913,84.38,30,2.77,55,05.08
Балашихинская городская,УИК №604,2270,1800,0,1510,8,282,8,1510,24,1494,0,0,188,12.38,1141,75.16,93,6.13,72,4.74
Балашихинская городская,УИК №605,1738,1500,0,1146,65,289,65,1146,22,1189,0,0,76,6.28,1050,86.71,30,2.48,33,2.73
Балашихинская городская,УИК №606,2293,2000,0,1060,559,381,559,1060,31,1588,0,0,87,5.37,1412,87.21,26,1.61,63,3.89
Балашихинская городская,УИК №607,1573,1400,0,1220,6,174,6,1220,24,1202,0,0,67,5.46,1067,87.03,24,1.96,44,3.59
Балашихинская городская,УИК №608,1391,1200,0,975,4,221,4,975,24,955,0,0,115,11.75,774,79.06,25,2.55,41,4.19
Балашихинская городская,УИК №649,2080,1800,0,1514,0,286,0,1514,33,1481,0,0,139,9.18,1146,75.69,120,7.93,76,05.02
Балашихинская городская,УИК №650,2070,1900,0,1560,2,338,2,1560,31,1531,0,0,78,4.99,1288,82.46,62,3.97,103,6.59
Балашихинская городская,УИК №659,1924,1600,0,1396,4,200,4,1396,25,1375,0,0,98,7,1236,88.29,19,1.36,22,1.57
Балашихинская городская,УИК №1736,2354,2100,0,1644,1,455,1,1644,21,1624,0,0,18,01.09,1472,89.48,20,1.22,114,6.93
Балашихинская городская,УИК №1737,2079,1800,0,1458,0,342,0,1458,22,1436,0,0,97,6.65,1209,82.92,91,6.24,39,2.67
Балашихинская городская,УИК №1738,1571,1500,0,1063,72,365,72,1063,25,1110,0,0,163,14.36,873,76.92,35,03.08,39,3.44
Балашихинская городская,УИК №1739,2229,2200,0,1507,7,686,7,1507,23,1491,0,0,24,1.59,1342,88.64,21,1.39,104,6.87
Балашихинская городская,УИК №2099,1778,1600,0,1311,0,289,0,1311,22,1289,0,0,83,6.33,1143,87.19,34,2.59,29,2.21
Балашихинская городская,УИК №2100,1681,1600,0,1070,75,455,75,1070,17,1128,0,0,103,8.99,966,84.37,32,2.79,27,2.36
Балашихинская городская,УИК №2101,1310,1300,0,779,166,355,166,779,18,927,0,0,77,8.15,812,85.93,24,2.54,14,1.48
Балашихинская городская,УИК №3570,1887,1600,0,1125,115,360,115,1125,38,1202,0,0,101,8.15,1014,81.77,19,1.53,68,5.48
Балашихинская городская,УИК №3571,2403,2200,0,1586,121,493,121,1586,47,1660,0,0,121,07.09,1474,86.35,33,1.93,32,1.87
Балашихинская городская,УИК №3572,1877,1900,0,1017,310,573,310,1017,44,1283,0,0,68,5.12,1131,85.23,48,3.62,36,2.71
Балашихинская городская,УИК №3583,1435,1400,0,949,68,383,68,949,15,1002,0,0,70,6.88,875,86.04,20,1.97,37,3.64
Балашихинская городская,УИК №3584,1281,1300,0,829,72,399,72,829,32,869,0,0,74,8.21,720,79.91,31,3.44,44,4.88
Балашихинская городская,УИК №3662,1707,1300,0,1201,2,97,2,1201,30,1173,0,0,94,7.81,1028,85.45,26,2.16,25,02.08
Балашихинская городская,УИК №3663,2061,1900,0,1423,103,374,103,1423,45,1481,0,0,191,12.52,1212,79.42,32,2.1,46,03.01
Балашихинская городская,УИК №3664,1246,1200,0,752,119,329,119,752,23,848,0,0,35,04.02,755,86.68,21,2.41,37,4.25
Балашихинская городская,УИК №3665,1802,1600,0,1302,6,292,6,1302,36,1272,0,0,106,8.1,1095,83.72,40,03.06,31,2.37
Балашихинская городская,УИК №3666,1804,1600,0,1120,118,362,118,1120,35,1203,0,0,91,7.35,1037,83.76,32,2.58,43,3.47
Балашихинская городская,УИК №3667,1091,1100,0,711,52,337,52,711,14,749,0,0,68,8.91,641,84.01,21,2.75,19,2.49
Балашихинская городская,УИК №3668,1405,1300,0,889,96,315,96,889,21,964,0,0,60,06.09,836,84.87,30,03.05,38,3.86
Балашихинская городская,УИК №3669,1724,1500,0,1204,7,289,7,1204,21,1190,0,0,90,7.43,1062,87.7,21,1.73,17,1.4
Балашихинская городская,УИК №3670,2428,2300,0,2092,0,208,0,2092,55,2037,0,0,258,12.33,1696,81.07,44,2.1,39,1.86
Балашихинская городская,УИК №3671,1717,1500,0,1033,146,321,146,1033,19,1160,0,0,66,5.6,1046,88.72,20,1.7,28,2.37
Балашихинская городская,УИК №3672,1605,1400,0,1132,22,246,22,1132,27,1127,0,0,77,6.67,996,86.31,23,1.99,31,2.69
Балашихинская городская,УИК №3673,1575,1700,0,1207,15,478,15,1207,22,1200,0,0,109,8.92,1040,85.11,27,2.21,24,1.96
Балашихинская городская,УИК №3674,1471,1400,0,905,87,408,87,905,22,970,0,0,102,10.28,794,80.04,35,3.53,39,3.93
Балашихинская городская,УИК №3675,1397,1400,0,1121,0,279,0,1121,13,1108,0,0,53,4.73,986,87.96,28,2.5,41,3.66
Балашихинская городская,УИК №3676,1602,1300,0,1104,16,180,16,1104,21,1099,0,0,58,5.18,974,86.96,16,1.43,51,4.55
Балашихинская городская,УИК №3677,1642,1500,0,1221,1,278,1,1221,26,1196,0,0,65,5.32,1072,87.73,32,2.62,27,2.21
Балашихинская городская,УИК №3678,1416,1200,0,712,69,419,69,712,28,753,0,0,54,6.91,636,81.43,34,4.35,29,3.71
Балашихинская городская,УИК №3679,2107,1900,0,1497,4,399,4,1497,32,1469,0,0,105,6.99,1283,85.48,35,2.33,46,03.06
Балашихинская городская,УИК №3680,1340,1300,0,1029,5,266,5,1029,19,1015,0,0,85,8.22,878,84.91,21,02.03,31,2.99
Балашихинская городская,УИК №3681,2460,2000,0,1632,8,360,8,1632,47,1593,0,0,198,12.07,1280,78.05,51,3.11,64,3.9
Балашихинская городская,УИК №3682,1625,1400,0,970,55,375,55,970,29,996,0,0,112,10.93,815,79.51,30,2.93,39,3.8
Балашихинская городская,УИК №3683,1632,1500,0,1298,5,197,5,1298,21,1282,0,0,125,9.59,1066,81.81,43,3.3,48,3.68
Балашихинская городская,УИК №4228,206,207,0,157,0,50,0,157,0,157,0,0,3,1.91,143,91.08,0,0,11,07.01
Балашихинская городская,УИК №4229,105,105,0,103,0,2,0,103,4,99,0,0,3,2.91,88,85.44,3,2.91,5,4.85
Балашихинская городская,УИК №4230,352,352,0,85,185,82,185,85,4,266,0,0,4,1.48,243,90,5,1.85,14,5.19
Балашихинская городская,УИК №4241,602,610,0,541,54,15,54,541,28,567,0,0,9,1.51,509,85.55,8,1.34,41,6.89
Богородская городская,УИК №635,1595,1600,0,883,62,655,62,883,22,923,0,0,69,7.3,826,87.41,10,01.06,18,1.9
Богородская городская,УИК №636,1339,1200,0,875,48,277,48,875,0,923,0,0,1,0.11,790,85.59,1,0.11,131,14.19
Богородская городская,УИК №639,1191,1200,0,758,153,289,153,758,9,902,0,0,34,3.73,836,91.77,18,1.98,14,1.54
Богородская городская,УИК №640,817,800,0,525,112,163,111,525,5,631,0,0,53,8.33,527,82.86,20,3.14,31,4.87
Богородская городская,УИК №641,1300,1300,0,908,98,294,98,908,7,999,0,0,68,6.76,881,87.57,19,1.89,31,03.08
Богородская городская,УИК №642,1213,1300,0,864,80,356,80,864,0,944,0,0,35,3.71,871,92.27,15,1.59,23,2.44
Богородская городская,УИК №1829,1742,1700,0,1067,68,565,68,1067,0,1135,0,0,1,0.09,977,86.08,1,0.09,156,13.74
Богородская городская,УИК №1830,1206,1200,0,783,48,369,48,783,0,831,0,0,1,0.12,820,98.68,1,0.12,9,01.08
Богородская городская,УИК №1831,1420,1500,0,875,60,565,60,875,0,935,0,0,1,0.11,802,85.78,1,0.11,131,14.01
Богородская городская,УИК №1832,1180,1200,0,762,48,390,48,762,0,810,0,0,1,0.12,690,85.19,1,0.12,118,14.57
Богородская городская,УИК №1833,1618,1500,0,982,178,340,178,982,6,1154,0,0,80,6.9,987,85.09,29,2.5,58,5
Богородская городская,УИК №1834,1460,1500,0,1005,125,370,125,1005,17,1113,0,0,78,6.9,952,84.25,28,2.48,55,4.87
Богородская городская,УИК №1835,1526,1800,0,968,72,760,72,968,0,1040,0,0,1,0.1,893,85.87,1,0.1,145,13.94
